Paper_ID,Reference_No,Title,Year,Full_Reference
P001,1,On the opportunities and risks of foundation models. arXiv preprint arXiv:2108.07258 (2021),2021,"Bommasani, R., Hudson, D.A., Adeli, E., Altman, R., Arora, S., Arx, S., Bernstein, M.S., et al.: On the opportunities and risks of foundation models. arXiv preprint arXiv:2108.07258 (2021)"
P002,2,"BERT: Pre-training of deep bidirectional transformers for language understanding. In: Proceedings of NAACL-HLT, pp. 4171–4186 (2019)",2019,"Devlin, J., Chang, M.-W., Lee, K., Toutanova, K.: BERT: Pre-training of deep bidirectional transformers for language understanding. In: Proceedings of NAACL-HLT, pp. 4171–4186 (2019)"
P003,3,GPT-4 technical report. arXiv preprint arXiv:2303.08774 (2023),2023,OpenAI: GPT-4 technical report. arXiv preprint arXiv:2303.08774 (2023)
P004,4,"Learning transferable visual models from natural language supervision. In: Proceedings of the International Conference on Machine Learning (ICML), pp. 8748–8763. PMLR, ??? (2021)",2021,"Radford, A., Kim, J.W., Hallacy, C., Ramesh, A., Goh, G., Agarwal, S., Sastry, G., Askell, A., Mishkin, P., Clark, J., et al.: Learning transferable visual models from natural language supervision. In: Proceedings of the International Conference on Machine Learning (ICML), pp. 8748–8763. PMLR, ??? (2021)"
P005,5,"Segment anything. In: Proceedings 44 Table F6: Cross-reference table of benchmarks and methods evaluated in this survey, by visual computing domain. ✓ = evaluated; – = not evaluated or not reported. Benchmarks are as defined in Table 19 (main paper). This table highlights missing evaluations in the current literature (gaps marked with –) that constitute open benchmarking opportunities. Method Blender M- 360 COCO ADE20KNYUv2KITTI HML3D SA-23 SLAKEMMBench NeRF [8] ✓ – – – – – – – – – 3DGS [15] ✓ ✓ – – – – – – – – CLIP [4] – – – – – – – – – – SAM [5] – – ✓ – – – – ✓ – – SAM2 [20] – – – – – – – ✓ – – DINOv2 [6] – – – ✓ – – – – – – MedSAM [79] – – – – – – – – ✓ – Marigold [66] – – – – ✓ – – – – – Depth Anything V2 [65] – – – – ✓ ✓ – – – – T2MGPT",,"Kirillov, A., Mintun, E., Ravi, N., Mao, H., Rolland, C., Gustafson, L., Xiao, T., Whitehead, S., Berg, A.C., Lo, W.-Y., et al.: Segment anything. In: Proceedings 44 Table F6: Cross-reference table of benchmarks and methods evaluated in this survey, by visual computing domain. ✓ = evaluated; – = not evaluated or not reported. Benchmarks are as defined in Table 19 (main paper). This table highlights missing evaluations in the current literature (gaps marked with –) that constitute open benchmarking opportunities. Method Blender M- 360 COCO ADE20KNYUv2KITTI HML3D SA-23 SLAKEMMBench NeRF [8] ✓ – – – – – – – – – 3DGS [15] ✓ ✓ – – – – – – – – CLIP [4] – – – – – – – – – – SAM [5] – – ✓ – – – – ✓ – – SAM2 [20] – – – – – – – ✓ – – DINOv2 [6] – – – ✓ – – – – – – MedSAM [79] – – – – – – – – ✓ – Marigold [66] – – – – ✓ – – – – – Depth Anything V2 [65] – – – – ✓ ✓ – – – – T2MGPT"
P053,53,"many methods are evaluated on disjoint benchmarks, making direct cross-domain comparison impossible. This gap motivates the development of unified visual computing evaluation frameworks as a future research priority. of the IEEE/CVF International Conference on Computer Vision (ICCV), pp. 4015–4026 (2023)",2023,"– – – – – – ✓ – – – LLaVA [9] – – – – – – – – – ✓ GPT- 4V [3] – – – – – – – – – ✓ DreamFusion [31]– – – – – – – – – – SwinIR [71] – – – – – – – – – – DiffBIR [73] – – – – – – – – – – Observation: many methods are evaluated on disjoint benchmarks, making direct cross-domain comparison impossible. This gap motivates the development of unified visual computing evaluation frameworks as a future research priority. of the IEEE/CVF International Conference on Computer Vision (ICCV), pp. 4015–4026 (2023)"
P006,6,DINOv2: Learning robust visual features without supervision. Transactions on Machine Learning Research (TMLR) (2024),2024,"Oquab, M., Darcet, T., Moutakanni, T., Vo, H.V., Szafraniec, M., Khalidov, V., Fernandez, P., Haziza, D., Massa, F., El-Nouby, A., et al.: DINOv2: Learning robust visual features without supervision. Transactions on Machine Learning Research (TMLR) (2024)"
P007,7,"High-resolution image synthesis with latent diffusion models. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 10684– 10695 (2022)",2022,"Rombach, R., Blattmann, A., Lorenz, D., Esser, P., Ommer, B.: High-resolution image synthesis with latent diffusion models. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 10684– 10695 (2022)"
P008,8,"NeRF: Representing scenes as neural radiance fields for view synthesis. Communications of the ACM 65(1), 99–106 (2021)",2021,"Mildenhall, B., Srinivasan, P.P., Tancik, M., Barron, J.T., Ramamoorthi, R., Ng, R.: NeRF: Representing scenes as neural radiance fields for view synthesis. Communications of the ACM 65(1), 99–106 (2021)"
P009,9,"Visual instruction tuning. In: Advances in Neural Information Processing Systems (NeurIPS), vol. 36 (2023) 45 Table G7: Complete glossary of abbreviations and acronyms used in this survey, arranged alphabetically. Acronym Expansion Acronym Expansion 2D Two-Dimensional LDM Latent Diffusion Model 3D Three-Dimensional LiDAR Light Detection and Ranging 4D Four-Dimensional (space + time) LoRA Low-Rank Adaptation AbsRel Absolute Relative Error LP Linear Probe AP Average Precision LPIPS Learned Perceptual Image Patch Sim. AR Augmented Reality MAE Masked Autoencoder CAD Computer-Aided Design mAP mean Average Precision CL Contrastive Learning MLP Multi-Layer Perceptron CLIP Contrastive Lang.–Image Pretrain. MRI Magnetic Resonance Imaging CNN Convolutional Neural Network NAS Neural Architecture Search CT Computed Tomography NeRF Neural Radiance Field DE Depth Estimation NLP Natural Language Processing DINO Self-Distill. w/ No Labels NVS Novel View Synthesis FID Fr´echet Inception Distance OD Object Detection FPS Frames Per Second PEFT Parameter-Efficient Fine-Tuning FT Fine-Tuning PSNR Peak Signal-to-Noise Ratio GAN Generative Adversarial Network QA Question Answering GPU Graphics Processing Unit RAG Retrieval-Augmented Generation IoU Intersection over Union RGB-D RGB + Depth image IS Instance Segmentation RLHF Reinforcement Learning from Human Feedback IT Instruction Tuning SAM Segment Anything Model LLM Large Language Model SDS Score Distillation Sampling VFM Visual Foundation Model SMPL Skinned Multi-Person Linear model VLM Vision-Language Model SS Semantic Segmentation SSIM Struct. Similarity Index Measure SSL Self-Supervised Learning T2I Text-to-Image T2M Text-to-Motion T23D Text-to-3D ViT Vision Transformer VPT Visual Prompt Tuning VQA Visual Question Answering VR Virtual Reality XR Extended Reality (AR+VR+MR) ZS Zero-Shot 3DGS 3D Gaussian Splatting",2023,"Liu, H., Li, C., Wu, Q., Lee, Y.J.: Visual instruction tuning. In: Advances in Neural Information Processing Systems (NeurIPS), vol. 36 (2023) 45 Table G7: Complete glossary of abbreviations and acronyms used in this survey, arranged alphabetically. Acronym Expansion Acronym Expansion 2D Two-Dimensional LDM Latent Diffusion Model 3D Three-Dimensional LiDAR Light Detection and Ranging 4D Four-Dimensional (space + time) LoRA Low-Rank Adaptation AbsRel Absolute Relative Error LP Linear Probe AP Average Precision LPIPS Learned Perceptual Image Patch Sim. AR Augmented Reality MAE Masked Autoencoder CAD Computer-Aided Design mAP mean Average Precision CL Contrastive Learning MLP Multi-Layer Perceptron CLIP Contrastive Lang.–Image Pretrain. MRI Magnetic Resonance Imaging CNN Convolutional Neural Network NAS Neural Architecture Search CT Computed Tomography NeRF Neural Radiance Field DE Depth Estimation NLP Natural Language Processing DINO Self-Distill. w/ No Labels NVS Novel View Synthesis FID Fr´echet Inception Distance OD Object Detection FPS Frames Per Second PEFT Parameter-Efficient Fine-Tuning FT Fine-Tuning PSNR Peak Signal-to-Noise Ratio GAN Generative Adversarial Network QA Question Answering GPU Graphics Processing Unit RAG Retrieval-Augmented Generation IoU Intersection over Union RGB-D RGB + Depth image IS Instance Segmentation RLHF Reinforcement Learning from Human Feedback IT Instruction Tuning SAM Segment Anything Model LLM Large Language Model SDS Score Distillation Sampling VFM Visual Foundation Model SMPL Skinned Multi-Person Linear model VLM Vision-Language Model SS Semantic Segmentation SSIM Struct. Similarity Index Measure SSL Self-Supervised Learning T2I Text-to-Image T2M Text-to-Motion T23D Text-to-3D ViT Vision Transformer VPT Visual Prompt Tuning VQA Visual Question Answering VR Virtual Reality XR Extended Reality (AR+VR+MR) ZS Zero-Shot 3DGS 3D Gaussian Splatting"
